"indicator","date","rate"
"open","2022-04-29 17:25:00","2307"
"high","2022-04-29 17:25:00","2307"
"low","2022-04-29 17:25:00","2307"
"close","2022-04-29 17:25:00","2307"
"open","2022-04-29 17:14:00","2305.41"
"high","2022-04-29 17:14:00","2305.41"
"low","2022-04-29 17:14:00","2305.41"
"close","2022-04-29 17:14:00","2305.41"
"open","2022-04-29 17:11:00","2305.41"
"high","2022-04-29 17:11:00","2305.54"
"low","2022-04-29 17:11:00","2305.41"
"close","2022-04-29 17:11:00","2305.54"
"open","2022-04-29 17:01:00","2307"
"high","2022-04-29 17:01:00","2307"
"low","2022-04-29 17:01:00","2307"
"close","2022-04-29 17:01:00","2307"
"open","2022-04-29 16:56:00","2306.9"
"high","2022-04-29 16:56:00","2306.9"
"low","2022-04-29 16:56:00","2306.9"
"close","2022-04-29 16:56:00","2306.9"
"open","2022-04-29 16:54:00","2306.99"
"high","2022-04-29 16:54:00","2306.99"
"low","2022-04-29 16:54:00","2306.99"
"close","2022-04-29 16:54:00","2306.99"
"open","2022-04-29 16:53:00","2299.33"
"high","2022-04-29 16:53:00","2299.33"
"low","2022-04-29 16:53:00","2299.33"
"close","2022-04-29 16:53:00","2299.33"
"open","2022-04-29 16:52:00","2306.33"
"high","2022-04-29 16:52:00","2306.33"
"low","2022-04-29 16:52:00","2306"
"close","2022-04-29 16:52:00","2306"
"open","2022-04-29 16:37:00","2299.33"
"high","2022-04-29 16:37:00","2299.33"
"low","2022-04-29 16:37:00","2299.33"
"close","2022-04-29 16:37:00","2299.33"
"open","2022-04-29 16:30:00","2299.33"
"high","2022-04-29 16:30:00","2299.33"
"low","2022-04-29 16:30:00","2299.33"
"close","2022-04-29 16:30:00","2299.33"
"open","2022-04-29 16:29:00","2314.79"
"high","2022-04-29 16:29:00","2314.79"
"low","2022-04-29 16:29:00","2314.79"
"close","2022-04-29 16:29:00","2314.79"
"open","2022-04-29 16:26:00","2302.3"
"high","2022-04-29 16:26:00","2302.3"
"low","2022-04-29 16:26:00","2302.3"
"close","2022-04-29 16:26:00","2302.3"
"open","2022-04-29 16:20:00","2313.05"
"high","2022-04-29 16:20:00","2313.05"
"low","2022-04-29 16:20:00","2313.05"
"close","2022-04-29 16:20:00","2313.05"
"open","2022-04-29 16:14:00","2300.64"
"high","2022-04-29 16:14:00","2300.64"
"low","2022-04-29 16:14:00","2300.64"
"close","2022-04-29 16:14:00","2300.64"
"open","2022-04-29 16:10:00","2304.31"
"high","2022-04-29 16:10:00","2304.31"
"low","2022-04-29 16:10:00","2304.31"
"close","2022-04-29 16:10:00","2304.31"
"open","2022-04-29 16:09:00","2299.33"
"high","2022-04-29 16:09:00","2299.33"
"low","2022-04-29 16:09:00","2299.33"
"close","2022-04-29 16:09:00","2299.33"
"open","2022-04-29 16:07:00","2310"
"high","2022-04-29 16:07:00","2310"
"low","2022-04-29 16:07:00","2310"
"close","2022-04-29 16:07:00","2310"
"open","2022-04-29 16:05:00","2299.33"
"high","2022-04-29 16:05:00","2299.33"
"low","2022-04-29 16:05:00","2299.33"
"close","2022-04-29 16:05:00","2299.33"
"open","2022-04-29 16:04:00","2299.33"
"high","2022-04-29 16:04:00","2299.33"
"low","2022-04-29 16:04:00","2299.33"
"close","2022-04-29 16:04:00","2299.33"
"open","2022-04-29 16:03:00","2299.33"
"high","2022-04-29 16:03:00","2299.33"
"low","2022-04-29 16:03:00","2299.33"
"close","2022-04-29 16:03:00","2299.33"
"open","2022-04-29 16:02:00","2299.85"
"high","2022-04-29 16:02:00","2299.85"
