indicator,date,rate
open,2022-04-29 19:07:00,28.24
high,2022-04-29 19:07:00,28.24
low,2022-04-29 19:07:00,28.24
close,2022-04-29 19:07:00,28.24
open,2022-04-29 16:01:00,28.21
high,2022-04-29 16:01:00,28.21
low,2022-04-29 16:01:00,28.21
close,2022-04-29 16:01:00,28.21
open,2022-04-29 16:00:00,28.225
high,2022-04-29 16:00:00,28.24
low,2022-04-29 16:00:00,28.21
close,2022-04-29 16:00:00,28.23
open,2022-04-29 15:59:00,28.245
high,2022-04-29 15:59:00,28.265
low,2022-04-29 15:59:00,28.22
close,2022-04-29 15:59:00,28.225
open,2022-04-29 15:58:00,28.245
high,2022-04-29 15:58:00,28.25
low,2022-04-29 15:58:00,28.22
close,2022-04-29 15:58:00,28.24
open,2022-04-29 15:57:00,28.23
high,2022-04-29 15:57:00,28.26
low,2022-04-29 15:57:00,28.23
close,2022-04-29 15:57:00,28.24
open,2022-04-29 15:56:00,28.21
high,2022-04-29 15:56:00,28.25
low,2022-04-29 15:56:00,28.2
close,2022-04-29 15:56:00,28.23
open,2022-04-29 15:55:00,28.2
high,2022-04-29 15:55:00,28.215
low,2022-04-29 15:55:00,28.17
close,2022-04-29 15:55:00,28.215
open,2022-04-29 15:54:00,28.2
high,2022-04-29 15:54:00,28.22
low,2022-04-29 15:54:00,28.18
close,2022-04-29 15:54:00,28.2
open,2022-04-29 15:53:00,28.2
high,2022-04-29 15:53:00,28.21
low,2022-04-29 15:53:00,28.19
close,2022-04-29 15:53:00,28.208
open,2022-04-29 15:52:00,28.155
high,2022-04-29 15:52:00,28.22
low,2022-04-29 15:52:00,28.15
close,2022-04-29 15:52:00,28.2
open,2022-04-29 15:51:00,28.19
high,2022-04-29 15:51:00,28.21
low,2022-04-29 15:51:00,28.14
close,2022-04-29 15:51:00,28.15
open,2022-04-29 15:50:00,28.22
high,2022-04-29 15:50:00,28.22
low,2022-04-29 15:50:00,28.2
close,2022-04-29 15:50:00,28.2
open,2022-04-29 15:49:00,28.22
high,2022-04-29 15:49:00,28.23
low,2022-04-29 15:49:00,28.22
close,2022-04-29 15:49:00,28.22
open,2022-04-29 15:48:00,28.25
high,2022-04-29 15:48:00,28.25
low,2022-04-29 15:48:00,28.21
close,2022-04-29 15:48:00,28.21
open,2022-04-29 15:47:00,28.27
high,2022-04-29 15:47:00,28.27
low,2022-04-29 15:47:00,28.26
close,2022-04-29 15:47:00,28.26
open,2022-04-29 15:46:00,28.26
high,2022-04-29 15:46:00,28.27
low,2022-04-29 15:46:00,28.26
close,2022-04-29 15:46:00,28.27
open,2022-04-29 15:45:00,28.29
high,2022-04-29 15:45:00,28.29
low,2022-04-29 15:45:00,28.27
close,2022-04-29 15:45:00,28.27
open,2022-04-29 15:44:00,28.28
high,2022-04-29 15:44:00,28.3
low,2022-04-29 15:44:00,28.27
close,2022-04-29 15:44:00,28.29
open,2022-04-29 15:43:00,28.29
high,2022-04-29 15:43:00,28.29
low,2022-04-29 15:43:00,28.285
close,2022-04-29 15:43:00,28.29
open,2022-04-29 15:42:00,28.32
high,2022-04-29 15:42:00,28.32
low,2022-04-29 15:42:00,28.3
close,2022-04-29 15:42:00,28.3
open,2022-04-29 15:41:00,28.33
high,2022-04-29 15:41:00,28.33
low,2022-04-29 15:41:00,28.32
close,2022-04-29 15:41:00,28.32
open,2022-04-29 15:40:00,28.32
high,2022-04-29 15:40:00,28.33
low,2022-04-29 15:40:00,28.31
close,2022-04-29 15:40:00,28.32
open,2022-04-29 15:39:00,28.29
high,2022-04-29 15:39:00,28.33
low,2022-04-29 15:39:00,28.29
close,2022-04-29 15:39:00,28.32
